question,option1,option2,option3,option4,answer,,
1. Which of the following is not a result of cell division?,(1) Growth,(2) Repair,(3) Metabolism,(4) Reproduction,Sol. Answer (3),,
2. Mark the incorrect pair.,(1) Hydra  –  Budding,(2) Flatworm – Regeneration,(3) Amoeba  – Fragmentation,(4) Yeast – Budding,Sol. Answer (3),,
3. Which of the following is incorrect for reproduction?,(1) Unicellular organisms reproduce by cell division,(2) Reproduction is a characteristic of all living organisms,"(3) In unicellular organisms, reproduction and growth are linked together",(4) Non-living objects are incapable of reproducing,Sol. Answer (2),,
4. Mark the incorrect statement w.r.t. metabolism.,(1) Microbes exhibit the metabolism,(2) It is the property of all living forms,(3) The metabolic reactions can be demonstrated in-vitro,(4) It is not a defining feature of life forms,Sol. Answer (4),,
5. Non-living objects exhibit/show,(1) Property of self-replication,(2) Evolution,(3) Self-regulating interactive systems,(4) Reversible growth,Sol. Answer (4),,
6. Which statement is false about the growth shown by non-living objects?,(1) The growth occurs from outside,(2) The growth is reversible,(3) The growth is due to the accumulation of material on the surface,(4) The growth is intrinsic,Sol. Answer (4),,
7. Local names of various plants and animals,(1) Help in recognizing organisms worldwide,(2) Are used universally,(3) Are specific and distinct names,(4) Vary from place to place,Sol. Answer (4),,
8. Which of the following is incorrect w.r.t. Binomial nomenclature?,(1) Biological names are generally in Latin,(2) The first word in a biological name represents the genus,(3) Biological names are printed in italics,(4) The first word of the genus starts with a small letter,Sol. Answer (4),,
"9. What do A, B and C represent in the given scientific name respectively?","(1) Generic name, specific name and author’s name","(2) Specific name, generic name and author’s name","(3) Author’s name, specific name and generic name","(4) Generic name, author’s name and specific name",Sol. Answer (3),,
10. Which of the following is incorrect regarding scientific names?,(1) These are also known as common names,(2) These ensure that each organism has only one name,(3) These have two components – the generic name and specific epithet,(4) These are universally accepted names,Sol. Answer (1),,
"11. According to binomial nomenclature, every living organism has",(1) Two scientific names with single component,(2) One scientific name with two components,"(3) Two names, one Latin and other common",(4) One common name with three components,Sol. Answer (2),,
12. Which of the following is incorrect w.r.t. Species?,(1) A group of individual organisms with fundamental similarities,(2) Two different species breed together to produce fertile offsprings,(3) Human beings belong to the species sapiens,"(4) Panthera has many specific epithet as tigris, leo and pardus",Sol. Answer (2),,
13. Taxonomy deals with,(1) Development of zoological parks,(2) Study of kinds and diversity of microorganisms only,(3) Evolutionary relationships between organisms,(4) Classification of diverse organisms in different taxa,Sol. Answer (4),,
14. Which of the following features are not shown by scientific names of various organism?,(1) They consists of two components,(2) They have Latin origin,(3) They always have “linn” abbreviation at the end of second component,(4) They are printed in italics,Sol. Answer (3),,
15. The correct sequence of taxonomic study of a newly discovered organism is,"(1) First classification then identification, nomenclature and characterization",(2) First identification then classifying organism and then characterizations and nomenclature,"(3) First nomenclature then characterization, identification and classification",(4) First characterisation then identification and  classification and then nomenclature,Sol. Answer (4),,
16. Which one of the following statements given below is not included in universal rules of nomenclature?,(1) Generic names and specific epithet should be in Latin words,(2) Generic name is immediately followed by name of taxonomists who described it firstly,(3) Generic name must begin with capital letter,(4) All letters of the specific name must be small,Sol. Answer (2),,
17. Find the correct sequence of taxonomic categories.,(1) Division  Kingdom  Genus  Order,(2) Species  Genus  Family  Order,(3) Class  Order  Family  Division,(4) Kingdom  Class  Species  Order,Sol. Answer (2),,
18. Which of the following is a class?,(1) Mammalia,(2) Sapindales,(3) Primate,(4) Poales,Sol. Answer (1),,
19. ______ is the assemblage of families which exhibit a few similar characters.,(1) Class,(2) Genus,(3) Species,(4) Order,Sol. Answer (4),,
20. Fill in the blanks A and B.,(1) A - Genus,(2) A - Family,(3) A – Class  B – Family,(4) A – Species B – Division,Sol. Answer (3),, 
21. Match the following columns,"(1) a(i), b(iii), c(iii), d(ii)","(2) a(i), b(iii), c(ii), d(i)","(3) a(ii), b(i), c(i), d(iii)","(4) a(iii), b(i), c(ii), d(i)",Sol. Answer (2),,
22. Genus is a category which comes in between the,(1) Felidae and Hominidae,(2) Class and Family,(3) Poaceae and Canidae,(3) Order and Phylum (4) Kingdom and Class,Sol. Answer (1),,
24. Cat and dog are placed in which families respectively,(1) Family and Species,(2) Anacardiaceae,(3) Order and Phylum (4) Kingdom and Class,(4) Solanaceae,Sol. Answer (4),,
"23. Three different genera Solanum, Petunia and Datura are placed in the family",(1) Poaceae,(2) Muscidae and Felidae,(3) Hominidae,(4) Felidae and Canidae,Sol. Answer (4),,
25. Which one of the following criteria is/are essential and form the basis of classical taxonomic studies?,(1) Ecological information of organisms,(2) Development process,(3) External and internal structure,(4) External structure,Sol. Answer (4),,
"26. In which of the following pair of category, greater is the difficulty of determining the relationship to other taxa",(1) Genus and species,(2) Tribe and genus,(3) Division and phylum,(4) Species and family,Sol. Answer (3),,
"27. In taxonomic hierarchy, which of the following group of taxa will have less number of similarities as compared","(1) Solanaceae, Convolvulaceae and Poaceae","(2) Polymoniales, Poales and Sapindales","(3) Solanum, Petunia and Atropa","(4) Leopard, tiger and lion",Sol. Answer (2),,
28. Taxonomic categories which come lower to the rank of class are,"(1) Order, phylum, family, species","(2) Order, family, genus, species","(3) Division, family, order, genus","(4) Order, division, genus, species",Sol. Answer (2),,
"29. Two animals A and B have similar morphological features and are fundamentally similar with each other, they",(1) One biological species,(2) Two distinct species,(3) One biological genera,(4) Two distinct genera,Sol. Answer (1),,
"30. A place used for storing, preservation and exhibition of both plants and animals is known as",(1) Herbaria,(2) Botanical Garden,(3) Museum,(4) Zoos,Sol. Answer (3),,
31. Herbarium consists of,(1) Collection of living plants,(2) Collection of plant and animal specimens preserved in the containers,(3) Preserved insects in boxes after collecting killing and pinning,"(4) Herbarium sheets carrying dried, pressed and preserved plant specimens on them",Sol. Answer (4),,
32. National Botanical Research Institute consists of,(1) Dried and preserved plant specimens only,(2) Collection of preserved plant and animal specimens,"(3) Flora, manuals and monographs only",(4) Collection of living plants for reference,Sol. Answer (4),,
33. Key  is,(1) A form of herbaria,(2) A type of educational institute,(3) A taxonomical aid used for identifying various organisms,(4) Taxonomic category,Sol. Answer (3),,
"34. In zoological parks, animals are",(1) Kept and preserved in containers or jars,(2) Preserved in boxes after killing,(3) Kept in protected environments under human care (4) Stuffed and then preserved,(3) Kept in protected environments under human care (4) Stuffed and then preserved,Sol. Answer (3),,
35. For identifying organisms through key usually,(1) Two contrasting characters are used,(2) One similar character is studied,(3) Two or more similar characters are used,(4) Only one statement called lead is used,Sol. Answer (1),,
1. Select correct statement for growth as one of the characteristic of living organisms.,(1) Growth by increase in mass is a defining property of prokaryotic organisms only,(2) Non-living objects do not show growth by increase in mass of body,(3) Intrinsic growth is a characteristic of all living organisms,(4) Growth can be extrinsic or intrinsic for multicellular organisms,Sol. Answer (3),,
2. Reproduction is synonymous with growth in,(1) Most of the fungi and Planaria,"(2) Desmids, diatoms and protozoans","(3) Cyanobacteria, fungi and mosses","(4) Mosses, algae and hydra",Sol. Answer (2),,
3. Carolus Linnaeus is the father of taxonomy because of one of his contributions,(1) Genera Plantarum,(2) Binomial nomenclature,(3) Described nearly ten thousand plants and animal species,(4) Die Naturlichen Pflanzen Familien,Sol. Answer (2),,
4. Binomial epithet has,(1) Two Latin names only,(2) Two Italics names written in Latin,(3) Two Latin names and author's name in Italics,(4) Two Latin names followed by author's name in Roman,Sol. Answer (4),,
5. Systematics  is  the  study  of,(1) Diversity amongst groups of organisms,(2) Grouping of organisms,(3) Identification and grouping of organisms,"(4) Identification, classification and taxonomy",Sol. Answer (1),,
6. Which one of the following criteria is/are essential and form the basis of modern taxonomic studies?,(1) Ecological information of organisms,(2) Development process,(3) External and internal structure,(4) All of these,Sol. Answer (4),,
7. Which one of the following is the first publication of Carolus Linnaeus?,(1) Systema Naturae,(2) Classes Plantarum,(3) Hortus Cliffortianus,(4) Hortus Upplandicus,Sol. Answer (4),,
8. Scientific name Rattus rattus is an example of,(1) Binomial nomenclature,(2) Tautonyms,(3) Synonyms,(4) Both (1) & (2),Sol. Answer (4),,
9. Given organisms belongs to how many genera?,(1) Three,(2) Two,(3) Four,(4) Five,Sol. Answer (3),,
10. Organisms which can freely interbreed and produce fertile offspring and have similar coded information or blue,(1) Species,(2) Tribe,(3) Genus,(4) Sub-genus,Sol. Answer (1),,
11. The correct sequence of taxonomic categories is,(1) Division—class—family—tribe—order—genus —species,(2) Division—class—order—family—tribe—genus —species,(3) Phylum—order—class—tribe—family—genus—species,(4) Class—phylum—tribe—order—family—genus—species,Sol. Answer (2),,
12. Two species can be said to be reproductively isolated if they are,(1) Interfertile,(2) Not interfertile,(3) Do not grow together in a common habitat,(4) Growing together in a common habitat,Sol. Answer (2),,
13. A genus having many species is known as,(1) Polytypic,(2) Monotypic,(3) Polygamic,(4) Both (1) & (3),Sol. Answer (1),,
"14. In taxonomic hierarchy, which of the following group of taxa will have more number of similarities as compared",(4) Both (1) & (3),"(2) Polymoniales, Poales and Sapindales","(3) Solanum, Petunia and Atropa","(4) Leopard, tiger and lion",Sol. Answer (4),,
"15. In which of the following pair of category, greater is the difficulty of determining the relationship to other taxa","(1) Anacardiaceae, Convolvulaceae and Poaceae",(2) Variety and genus,(3) Division and phylum,(4) Species and family,Sol. Answer (3),,
"16. Rice, cereals, monocots and plants represent",(1) Genus and species,(2) Same taxa of different category,(3) Different category of same taxa,(4) Same category for different taxa,Sol. Answer (1),,
17. The equivalent rank of Carnivora in taxonomic categories of man and housefly is respectively,(1) Different taxa at different level,(2) Hominidae and Muscidae,(3) Mammalia and Insecta,(4) Primata and Diptera,Sol. Answer (4),,
"18. All given are suffixes used for category class, except",(1) Homo and Musca,(2) -opsida,(3) -phyceae,(4) -ae,Sol. Answer (1),,
19. Biological concept of species was given by ________ and it is based on ________,(1) -phyta,(2) Linnaeus  morphological isolation,(3) Ernst Mayr mechanical isolation,(4) Ernst Mayr  reproductive isolation,Sol. Answer (4),,
20. Which category comes after phylum in descending order in taxonomic hierarchy?,(1) Genus,(2) Family,(3) Class,(4) Species,Sol. Answer (3),,
